edge,cause,effect,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_kci_knn_indicator,FCI_kci_simple,FCI_kci_simple_indicator,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_kci_knn_indicator,PC_kci_simple,PC_kci_simple_indicator,PC_mv_fisherz_raw_v2,avg_num_paths,agreement_score
bilirubin_max_missing --> blood_pressure_min_missing,bilirubin_max_missing,blood_pressure_min_missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.5,2
FiO2_max --> spO2_min,FiO2_max,spO2_min,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,2
temp_max_F_missing --> vaso_given,temp_max_F_missing,vaso_given,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.5,2
gender --> inr_max,gender,inr_max,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2
FiO2_max --> mechvent_24h_onset,FiO2_max,mechvent_24h_onset,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,2
heart_rate_max --> aki_post24h_stage,heart_rate_max,aki_post24h_stage,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.0,2
gender --> inr_max_missing,gender,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2
gender --> lactate_max,gender,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.5,2
temp_max_F_missing --> lactate_max_missing,temp_max_F_missing,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,2
FiO2_max --> lactate_max_missing,FiO2_max,lactate_max_missing,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,2
bilirubin_max_missing --> blood_pressure_min,bilirubin_max_missing,blood_pressure_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
blood_pressure_min --> FiO2_max_missing,blood_pressure_min,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
blood_pressure_min_missing --> mechvent_post24h,blood_pressure_min_missing,mechvent_post24h,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
FiO2_max --> blood_pressure_min_missing,FiO2_max,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.5,2
blood_pressure_min --> aki_post24h_stage,blood_pressure_min,aki_post24h_stage,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.5,2
blood_pressure_min --> lactate_max,blood_pressure_min,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2
inr_max_missing --> FiO2_max,inr_max_missing,FiO2_max,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2
antibiotics_given --> mechvent_post24h,antibiotics_given,mechvent_post24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.0,2
vaso_given --> mechvent_post24h,vaso_given,mechvent_post24h,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2
bilirubin_max --> FiO2_max,bilirubin_max,FiO2_max,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2
blood_pressure_min --> inr_max_missing,blood_pressure_min,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2
blood_pressure_min_missing --> FiO2_max,blood_pressure_min_missing,FiO2_max,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,2
blood_pressure_min_missing --> FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0,2
blood_pressure_min_missing --> aki_post24h_stage,blood_pressure_min_missing,aki_post24h_stage,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.0,2
bilirubin_max --> antibiotics_given,bilirubin_max,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5,2
temp_max_F_missing --> spO2_min,temp_max_F_missing,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,2
FiO2_max --> blood_pressure_min,FiO2_max,blood_pressure_min,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.0,2
vaso_given --> inr_max_missing,vaso_given,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,2
inr_max --> lactate_max,inr_max,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,2
inr_max --> inr_max_missing,inr_max,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2
blood_pressure_min_missing --> inr_max_missing,blood_pressure_min_missing,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
bilirubin_max --> blood_pressure_min,bilirubin_max,blood_pressure_min,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.5,2
bilirubin_max --> inr_max_missing,bilirubin_max,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,2
inr_max --> blood_pressure_min_missing,inr_max,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,2
blood_pressure_min_missing --> lactate_max,blood_pressure_min_missing,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2
vaso_given --> FiO2_max,vaso_given,FiO2_max,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
vaso_given --> lactate_max,vaso_given,lactate_max,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
vaso_given --> mechvent_24h_onset,vaso_given,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
FiO2_max --> temp_max_F_missing,FiO2_max,temp_max_F_missing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1
race --> lactate_max_missing,race,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0,1
temp_max_F_missing --> lactate_max,temp_max_F_missing,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1
temp_max_F --> blood_pressure_min,temp_max_F,blood_pressure_min,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
temp_max_F --> antibiotics_given,temp_max_F,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
temp_max_F --> inr_max_missing,temp_max_F,inr_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
temp_max_F --> lactate_max,temp_max_F,lactate_max,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1
temp_max_F --> FiO2_max_missing,temp_max_F,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
temp_max_F --> FiO2_max,temp_max_F,FiO2_max,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
spO2_min --> vaso_given,spO2_min,vaso_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
spO2_min --> mechvent_post24h,spO2_min,mechvent_post24h,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
spO2_min --> mechvent_24h_onset,spO2_min,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
spO2_min --> lactate_max_missing,spO2_min,lactate_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
spO2_min --> lactate_max,spO2_min,lactate_max,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
spO2_min --> inr_max_missing,spO2_min,inr_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
FiO2_max_missing --> antibiotics_given,FiO2_max_missing,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
spO2_min --> blood_pressure_min_missing,spO2_min,blood_pressure_min_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
spO2_min --> blood_pressure_min,spO2_min,blood_pressure_min,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
spO2_min --> antibiotics_given,spO2_min,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
FiO2_max_missing --> blood_pressure_min,FiO2_max_missing,blood_pressure_min,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
spO2_min --> FiO2_max_missing,spO2_min,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
temp_max_F --> lactate_max_missing,temp_max_F,lactate_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1
temp_max_F --> mechvent_24h_onset,temp_max_F,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
temp_max_F --> mechvent_post24h,temp_max_F,mechvent_post24h,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,1
temp_max_F --> spO2_min,temp_max_F,spO2_min,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
temp_max_F --> vaso_given,temp_max_F,vaso_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
temp_max_F_missing --> FiO2_max_missing,temp_max_F_missing,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
temp_max_F --> blood_pressure_min_missing,temp_max_F,blood_pressure_min_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
temp_max_F_missing --> blood_pressure_min_missing,temp_max_F_missing,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1
temp_max_F_missing --> inr_max_missing,temp_max_F_missing,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
race --> platelet_max,race,platelet_max,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
blood_pressure_min --> mechvent_24h_onset,blood_pressure_min,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
platelet_max_missing --> lactate_max,platelet_max_missing,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.0,1
bilirubin_max_missing --> bilirubin_max,bilirubin_max_missing,bilirubin_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
inr_max --> mechvent_24h_onset,inr_max,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
inr_max --> antibiotics_given,inr_max,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,1
bilirubin_max --> lactate_max_missing,bilirubin_max,lactate_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
heart_rate_max --> mechvent_24h_onset,heart_rate_max,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
heart_rate_max --> lactate_max_missing,heart_rate_max,lactate_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
heart_rate_max --> lactate_max,heart_rate_max,lactate_max,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
heart_rate_max --> inr_max_missing,heart_rate_max,inr_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
heart_rate_max --> blood_pressure_min_missing,heart_rate_max,blood_pressure_min_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
heart_rate_max --> blood_pressure_min,heart_rate_max,blood_pressure_min,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
heart_rate_max --> bilirubin_max,heart_rate_max,bilirubin_max,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
heart_rate_max --> antibiotics_given,heart_rate_max,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
heart_rate_max --> FiO2_max_missing,heart_rate_max,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
bilirubin_max_missing --> FiO2_max_missing,bilirubin_max_missing,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
gender --> temp_max_F_missing,gender,temp_max_F_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
inr_max_missing --> blood_pressure_min_missing,inr_max_missing,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1
gender --> mechvent_24h_onset,gender,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
bilirubin_max_missing --> inr_max,bilirubin_max_missing,inr_max,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
bilirubin_max_missing --> inr_max_missing,bilirubin_max_missing,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
bilirubin_max_missing --> lactate_max,bilirubin_max_missing,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.0,1
gender --> blood_pressure_min,gender,blood_pressure_min,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
bilirubin_max_missing --> lactate_max_missing,bilirubin_max_missing,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,1
gender --> antibiotics_given,gender,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
blood_pressure_min_missing --> mechvent_24h_onset,blood_pressure_min_missing,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
blood_pressure_min --> antibiotics_given,blood_pressure_min,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
blood_pressure_min --> blood_pressure_min_missing,blood_pressure_min,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
blood_pressure_min_missing --> blood_pressure_min,blood_pressure_min_missing,blood_pressure_min,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
blood_pressure_min_missing --> antibiotics_given,blood_pressure_min_missing,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
blood_pressure_min --> temp_max_F_missing,blood_pressure_min,temp_max_F_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
bilirubin_max --> FiO2_max_missing,bilirubin_max,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
inr_max_missing --> lactate_max,inr_max_missing,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1
platelet_max_missing --> bilirubin_max,platelet_max_missing,bilirubin_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
lactate_max_missing --> inr_max_missing,lactate_max_missing,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
platelet_max_missing --> FiO2_max_missing,platelet_max_missing,FiO2_max_missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
aki_24h_onset_stage_y --> antibiotics_given,aki_24h_onset_stage_y,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
platelet_max --> blood_pressure_min_missing,platelet_max,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
aki_24h_onset_stage_y --> inr_max,aki_24h_onset_stage_y,inr_max,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
platelet_max --> FiO2_max_missing,platelet_max,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
aki_24h_onset_stage_y --> mechvent_24h_onset,aki_24h_onset_stage_y,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1
aki_24h_onset_stage_y --> temp_max_F_missing,aki_24h_onset_stage_y,temp_max_F_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
mechvent_24h_onset --> inr_max,mechvent_24h_onset,inr_max,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
anchor_age --> platelet_max,anchor_age,platelet_max,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
mechvent_24h_onset --> bilirubin_max,mechvent_24h_onset,bilirubin_max,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
antibiotics_given --> FiO2_max_missing,antibiotics_given,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
lactate_max_missing --> vaso_given,lactate_max_missing,vaso_given,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
lactate_max_missing --> lactate_max,lactate_max_missing,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1
antibiotics_given --> bilirubin_max,antibiotics_given,bilirubin_max,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
inr_max_missing --> lactate_max_missing,inr_max_missing,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1
antibiotics_given --> blood_pressure_min,antibiotics_given,blood_pressure_min,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
lactate_max_missing --> blood_pressure_min,lactate_max_missing,blood_pressure_min,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
lactate_max_missing --> aki_post24h_stage,lactate_max_missing,aki_post24h_stage,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
lactate_max_missing --> FiO2_max_missing,lactate_max_missing,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
lactate_max --> mechvent_post24h,lactate_max,mechvent_post24h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,1
lactate_max --> inr_max,lactate_max,inr_max,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1
antibiotics_given --> inr_max,antibiotics_given,inr_max,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
antibiotics_given --> inr_max_missing,antibiotics_given,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
lactate_max --> blood_pressure_min_missing,lactate_max,blood_pressure_min_missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1
lactate_max --> bilirubin_max,lactate_max,bilirubin_max,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1
lactate_max --> antibiotics_given,lactate_max,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1
antibiotics_given --> lactate_max,antibiotics_given,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,1
inr_max_missing --> vaso_given,inr_max_missing,vaso_given,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1
anchor_age --> mechvent_24h_onset,anchor_age,mechvent_24h_onset,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0,1
